team,weighted_xg_per_90,weighted_xga_per_90,weighted_xgd_per_90,total_matches,total_effective_weight,sources_used,unique_competitions
Spain,2.1339884393063584,0.9482466281310213,1.185741811175337,27.0,20.759999999999998,4.0,4.0
France,1.8799621570482496,0.8386281929990539,1.0413339640491959,28.0,21.14,5.0,4.0
Germany,1.8978437190900097,0.9036597428288824,0.9941839762611273,27.0,20.22,5.0,4.0
Belgium,1.8568277945619334,0.8676032225579053,0.989224572004028,26.0,19.86,5.0,4.0
Portugal,2.0021463414634146,1.0241951219512195,0.9779512195121951,28.0,20.5,5.0,4.0
Ivory Coast,1.4586138613861386,0.4875813295615275,0.9710325318246111,19.0,14.14,4.0,2.0
Morocco,1.757586384734399,0.7918927282104178,0.9656936565239813,23.0,19.39,4.0,3.0
England,1.6234986474301172,0.6588638412984671,0.9646348061316501,29.0,22.18,6.0,4.0
Norway,1.8044091486658198,0.9025158831003812,0.9018932655654386,22.0,15.74,5.0,3.0
Croatia,1.9531045406546987,1.1139809926082365,0.8391235480464623,25.0,18.94,5.0,4.0
Japan,1.491841868823001,0.6969451931716082,0.7948966756513929,31.0,22.26,5.0,3.0
South Korea,1.654648148148148,0.8766851851851851,0.777962962962963,29.0,21.6,4.0,3.0
Iran,1.6978021978021975,0.955164835164835,0.7426373626373626,32.0,25.480000000000004,5.0,3.0
Austria,1.6824974823766365,0.9786908358509568,0.7038066465256797,26.0,19.86,5.0,4.0
Argentina,1.396388642413487,0.7228393966282165,0.6735492457852705,31.0,22.54,4.0,3.0
Netherlands,1.62473732718894,0.9734930875576038,0.6512442396313363,28.0,21.7,5.0,4.0
Czech Republic,1.6953541666666665,1.1021041666666667,0.5932499999999998,25.0,19.2,5.0,4.0
Mexico,1.414299021891011,0.8498416394969727,0.5644573823940383,32.0,21.47,6.0,3.0
Saudi Arabia,1.4190614886731392,0.8579223300970874,0.5611391585760518,39.0,30.9,6.0,3.0
Egypt,1.3546103038309114,0.8012153236459709,0.5533949801849405,21.0,15.14,4.0,2.0
Haiti,1.667836508912108,1.1320835894283956,0.5357529194837125,20.0,16.27,4.0,4.0
New Zealand,1.539593495934959,1.0182113821138212,0.5213821138211379,22.0,12.3,5.0,2.0
Algeria,1.4153065228052968,0.9065865620402157,0.5087199607650811,25.0,20.39,5.0,3.0
South Africa,1.3232110091743121,0.8525688073394496,0.4706422018348625,21.0,17.439999999999998,4.0,3.0
Senegal,1.3710825199645076,0.9514374445430346,0.419645075421473,28.0,22.54,5.0,3.0
Uzbekistan,1.473197852760736,1.0883819018404906,0.38481595092024534,33.0,26.080000000000005,6.0,3.0
Tunisia,1.388329145728643,1.0180276381909548,0.3703015075376883,23.0,15.92,4.0,2.0
Sweden,1.6025445292620866,1.246972010178117,0.3555725190839696,23.0,15.72,5.0,3.0
Colombia,1.3887921117502053,1.0395809367296633,0.349211175020542,34.0,24.34,5.0,3.0
Brazil,1.2839822222222224,0.9403555555555556,0.34362666666666675,32.0,22.5,5.0,3.0
Canada,1.2003882063882063,0.8575331695331695,0.3428550368550368,30.0,20.35,6.0,3.0
Ghana,1.2866129032258062,0.9691935483870968,0.3174193548387094,18.0,13.64,4.0,2.0
Switzerland,1.3285315408479832,1.024891416752844,0.3036401240951392,27.0,19.34,6.0,4.0
Panama,1.424060606060606,1.1233766233766231,0.3006839826839829,30.0,23.1,7.0,4.0
DR Congo,1.2417090539165818,0.9482197355035603,0.2934893184130215,22.0,19.66,5.0,3.0
Cape Verde,1.1604047976011995,0.8685157421289356,0.29188905547226396,18.0,13.34,3.0,2.0
Curacao,1.3299658508821854,1.0723847467273762,0.2575811041548093,22.0,17.57,5.0,4.0
USA,1.3192596153846152,1.0821442307692308,0.2371153846153844,32.0,20.8,6.0,3.0
Turkey,1.4687890625000002,1.3188867187500002,0.14990234375,27.0,20.48,5.0,4.0
Ecuador,1.1141340782122906,0.9917504655493483,0.12238361266294229,31.0,21.48,4.0,3.0
Paraguay,1.1014000000000002,1.0152,0.08620000000000005,28.0,20.0,4.0,3.0
Uruguay,1.1337847222222224,1.069375,0.06440972222222241,32.0,23.04,4.0,3.0
Bosnia and Herzegovina,1.328211586901763,1.273299748110831,0.05491183879093198,20.0,15.88,4.0,3.0
Australia,1.0688018433179722,1.015253456221198,0.05354838709677434,29.0,21.700000000000003,4.0,3.0
Iraq,1.136272019664072,1.0997091356001636,0.03656288406390851,29.0,24.41,5.0,3.0
Jordan,1.1975382262996943,1.207408256880734,-0.009870030581039746,38.0,26.159999999999997,5.0,3.0
Qatar,1.173912079793129,1.2854599187292206,-0.11154783893609155,34.0,27.069999999999997,5.0,3.0
Scotland,0.9970457079152731,1.4418952062430321,-0.444849498327759,25.0,17.94,6.0,4.0
