team,avg_american_odds,blended_devigged_probability,blended_fair_american_odds,log_odds
Mexico,-1250,0.9002018358770183,-902,2.199469212679992
Czech Republic,-260,0.7278389719381065,-267,0.9836859252796087
South Korea,-305,0.716299503064883,-252,0.9261792864322689
South Africa,2,0.4708436161924534,112,-0.11675799592042527
Switzerland,-1450,0.9094108728611653,-1004,2.3064628010595696
Canada,-700,0.8330065359477125,-499,1.6070868141724113
Bosnia,-250,0.7172003357918091,-254,0.9306164632900739
Qatar,212,0.33867521367521364,195,-0.6692034988073157
Brazil,-7500,0.9747932244339773,-3867,3.6551125409571847
Morocco,-800,0.8694463431305536,-666,1.896072315853437
Scotland,-315,0.7613199232296274,-319,1.1599296036816378
Haiti,900,0.09935513325343832,906,-2.2044103893127915
USA,-750,0.8664160401002506,-649,1.8696350157557802
Turkey,-375,0.775925925925926,-346,1.2420803743253972
Paraguay,-198,0.650894538606403,-186,0.6229735718185031
Australia,-112,0.5146624541289384,-106,0.05866663717024345
Germany,-6000,0.9594025835205718,-2363,3.162606350843264
Ecuador,-800,0.8797325102880658,-731,1.989899552683886
Ivory Coast,-440,0.7969858156028368,-393,1.36756103091738
Curacao,975,0.10461206359749263,856,-2.146998197116905
Netherlands,-1200,0.9120137545669461,-1037,2.3384745713579282
Japan,-360,0.7644160151622837,-324,1.1770446900355418
Sweden,-235,0.6821334192506964,-215,0.763593530761153
Tunisia,122,0.44745892129053805,123,-0.2109430437307979
Belgium,-2150,0.9322796331302947,-1377,2.6222458305313223
Egypt,-295,0.7248376623376623,-263,0.9685864734960489
Iran,-252,0.680704836709384,-213,0.7570128341688473
New Zealand,180,0.37527671479730396,166,-0.5096451480431088
Spain,-7500,0.9747932244339773,-3867,3.6551125409571847
Uruguay,-738,0.848662892141153,-561,1.7241521919837353
Saudi Arabia,-15,0.5266410912190963,-111,0.10666538209418258
Cape Verde,208,0.3394860776046495,195,-0.6655852646804266
France,-3250,0.9479393609295569,-1821,2.9018813598019024
Norway,-512,0.817678492783978,-448,1.5006975669608449
Senegal,-198,0.650894538606403,-186,0.6229735718185031
Iraq,325,0.23542159180457053,325,-1.1779466670032952
Argentina,-6500,0.9669918269174688,-2930,3.377434843449947
Austria,-345,0.7871052871052872,-370,1.3075642844807613
Algeria,-250,0.7053571428571429,-239,0.8729402910005415
Jordan,262,0.27629484005630794,262,-0.9629155151892089
Portugal,-3500,0.9561669658411568,-2181,3.0825448106103677
Colombia,-675,0.8543332414300157,-586,1.7689997927803118
DR Congo,-155,0.5910694661345364,-145,0.3683882527215905
Uzbekistan,182,0.3486044491445406,187,-0.6251791667945026
England,-7500,0.9747932244339773,-3867,3.6551125409571847
Croatia,-412,0.784621578099839,-364,1.2928049526115546
Ghana,-170,0.6214533408221529,-164,0.49572149382975245
Panama,198,0.337828587075575,196,-0.6729858263149652
