team,avg_american_odds,implied_probability,log_odds
Spain,445.0,0.14748074565794267,-1.754498165294295
France,525.0,0.12856774393666384,-1.9136821737786034
England,625.0,0.11082424580571636,-2.0823493393944728
Brazil,800.0,0.08933530535744906,-2.321778000051268
Argentina,800.0,0.08933530535744906,-2.321778000051268
Portugal,1100.0,0.06701090760585159,-2.6335381036553227
Germany,1250.0,0.05992061494830044,-2.7529437219024184
Netherlands,1950.0,0.03919364561243222,-3.199258252453407
Norway,2500.0,0.031135368051151337,-3.437780494027615
Belgium,3250.0,0.024033713520127727,-3.7039704686323005
Colombia,4000.0,0.01961294856756632,-3.9117574548219807
Morocco,5000.0,0.01621096888381527,-4.105723370084494
Japan,5250.0,0.015104258841752982,-4.17755904247553
United States,6000.0,0.013208458665937168,-4.313601380416507
Uruguay,6500.0,0.012183801382882109,-4.395389332663712
Mexico,6750.0,0.011729877397123391,-4.433816853291546
Switzerland,8250.0,0.009950135829198127,-4.600169107456496
Ecuador,8000.0,0.009927541867533569,-4.602465229139802
Sweden,8000.0,0.009927541867533569,-4.602465229139802
Turkey,8000.0,0.009350946464620993,-4.662882773601977
Croatia,8500.0,0.009350391468058505,-4.662942687511662
Senegal,9000.0,0.008887528276400287,-4.71417904433573
Austria,10000.0,0.007961691992774448,-4.825120184307478
Paraguay,15000.0,0.005866142219595446,-5.132674648372067
Czech Republic,16250.0,0.004969115125230652,-5.299531995708191
Scotland,17500.0,0.004624540580958143,-5.371742979947663
Canada,17500.0,0.004624540580958143,-5.371742979947663
Ivory Coast,21250.0,0.0038466709695274544,-5.556693099540147
Egypt,23750.0,0.0035651276680138616,-5.632983916371925
Bosnia & Herzegovina,27500.0,0.0029530745017468793,-5.821951003936384
Algeria,28750.0,0.0028877385460531644,-5.844389677087358
Ghana,28750.0,0.0028877385460531644,-5.844389677087358
Iran,30000.0,0.0026715312002332865,-5.92242838160709
South Korea,32500.0,0.0024701996655326825,-6.000983039718929
Australia,37500.0,0.0022014600116751146,-6.116430610273062
Tunisia,40000.0,0.002107320671850757,-6.160228417974543
DR Congo,55000.0,0.0015512946839196693,-6.467112917567597
South Africa,65000.0,0.0012870228982024088,-6.6541357067818785
Cape Verde,75000.0,0.0011809074008525503,-6.740290547026324
Panama,75000.0,0.0011809074008525503,-6.740290547026324
New Zealand,75000.0,0.0011809074008525503,-6.740290547026324
Iraq,75000.0,0.0011809074008525503,-6.740290547026324
Saudi Arabia,75000.0,0.0011809074008525503,-6.740290547026324
Qatar,75000.0,0.0011809074008525503,-6.740290547026324
Haiti,100000.0,0.0010393375917632157,-6.868131821674874
Curaçao,100000.0,0.0010393375917632157,-6.868131821674874
Jordan,100000.0,0.0010393375917632157,-6.868131821674874
Uzbekistan,100000.0,0.0010393375917632157,-6.868131821674874
