team,yes,no
Spain,-6600,2000
Argentina,-4000,1600
France,-2500,1200
England,-6600,2000
Brazil,-6600,2000
Portugal,-3300,1400
Colombia,-700,450
Netherlands,-1400,800
Ecuador,-1000,600
Croatia,-400,275
Germany,-3300,1400
Norway,-500,333
Japan,-350,250
Turkey,-400,275
Uruguay,-600,400
Switzerland,-1000,600
Senegal,-200,150
Belgium,-3300,1400
Mexico,-900,550
Paraguay,-200,150
Austria,-600,400
Morocco,-800,500
Canada,-400,275
Australia,-110,-125
Scotland,-450,300
Iran,-200,150
South Korea,-225,162
Algeria,-275,200
Panama,175,-250
Uzbekistan,175,-250
Czechia,-400,275
United States,-800,500
Sweden,-225,162
Jordan,240,-334
Egypt,-275,200
Ivory Coast,-450,300
DR Congo,-150,110
Tunisia,110,-150
Iraq,300,-450
Bosnia and Herzegovina,-334,240
New Zealand,137,-188
Saudi Arabia,-125,-110
Cape Verde,162,-225
Haiti,900,-1600
South Africa,120,-163
Ghana,-188,137
Qatar,150,-200
Curacao,700,-1200
