team,avg_american_odds,implied_probability
Spain,445.0,0.14748074565794267
France,525.0,0.12856774393666384
England,625.0,0.11082424580571636
Brazil,800.0,0.08933530535744906
Argentina,800.0,0.08933530535744906
Portugal,1100.0,0.06701090760585159
Germany,1250.0,0.05992061494830044
Netherlands,1950.0,0.03919364561243222
Norway,2500.0,0.031135368051151337
Belgium,3250.0,0.024033713520127727
Colombia,4000.0,0.01961294856756632
Morocco,5000.0,0.01621096888381527
Japan,5250.0,0.015104258841752982
United States,6000.0,0.013208458665937168
Uruguay,6500.0,0.012183801382882109
Mexico,6750.0,0.011729877397123391
Switzerland,8250.0,0.009950135829198127
Ecuador,8000.0,0.009927541867533569
Sweden,8000.0,0.009927541867533569
Turkey,8000.0,0.009350946464620993
Croatia,8500.0,0.009350391468058505
Senegal,9000.0,0.008887528276400287
Austria,10000.0,0.007961691992774448
Paraguay,15000.0,0.005866142219595446
Czech Republic,16250.0,0.004969115125230652
Scotland,17500.0,0.004624540580958143
Canada,17500.0,0.004624540580958143
Ivory Coast,21250.0,0.0038466709695274544
Egypt,23750.0,0.0035651276680138616
Bosnia & Herzegovina,27500.0,0.0029530745017468793
Algeria,28750.0,0.0028877385460531644
Ghana,28750.0,0.0028877385460531644
Iran,30000.0,0.0026715312002332865
South Korea,32500.0,0.0024701996655326825
Australia,37500.0,0.0022014600116751146
Tunisia,40000.0,0.002107320671850757
DR Congo,55000.0,0.0015512946839196693
South Africa,65000.0,0.0012870228982024088
Cape Verde,75000.0,0.0011809074008525503
Panama,75000.0,0.0011809074008525503
New Zealand,75000.0,0.0011809074008525503
Iraq,75000.0,0.0011809074008525503
Saudi Arabia,75000.0,0.0011809074008525503
Qatar,75000.0,0.0011809074008525503
Haiti,100000.0,0.0010393375917632157
Curaçao,100000.0,0.0010393375917632157
Jordan,100000.0,0.0010393375917632157
Uzbekistan,100000.0,0.0010393375917632157
